,State,Irrigation,Irrigation.adj01,Irrigation.adj,Tillage,Tillage.adj,long,lat
s04,IL,irrigated,irrigated,irrigated,reduced_conservation,reduced_conservation,-88.575709,42.249635
s05,IL,irrigated,irrigated,irrigated,reduced_conservation,reduced_conservation,-89.768109,41.715098
s07,IL,irrigated,irrigated,irrigated,reduced_conservation,reduced_conservation,-90.0783,41.560933
s09,IL,irrigated,irrigated,irrigated,reduced_conservation,reduced_conservation,-89.413333,40.659722
s16,IL,unknown,irrigated,irrigated,unknown,unknown,-90.305563,39.686888
s18,IL,non-irrigated,irrigated,irrigated,reduced_conservation,reduced_conservation,-88.213811,40.438339
s22,IL,unknown,irrigated,irrigated,unknown,unknown,-88.667992,40.895581
s23,IL,unknown,irrigated,irrigated,unknown,unknown,-88.154722,40.231388
s28,IN,unknown,irrigated,irrigated,unknown,unknown,-86.938056,41.288611
s29,IN,unknown,irrigated,irrigated,unknown,unknown,-86.858333,41.3975
s30,IN,irrigated,irrigated,irrigated,no_till,no_till,-85.804244,41.19228
s31,IN,irrigated,irrigated,irrigated,no_till,no_till,-85.29401,41.56495
s32,IN,irrigated,irrigated,irrigated,reduced_conservation,reduced_conservation,-85.643342,41.625304
s34,IN,unknown,irrigated,irrigated,unknown,unknown,-87.229819,40.418346
s40,IN,unknown,irrigated,irrigated,unknown,unknown,-86.406058,40.917033
s45,MI,irrigated,irrigated,irrigated,no_till,no_till,-85.37359,42.40757
s52,MI,irrigated,irrigated,irrigated,reduced_conservation,reduced_conservation,-84.41387,43.118707
s54,MI,irrigated,irrigated,irrigated,no_till,no_till,-84.531822,42.52951
s56,MI,irrigated,irrigated,irrigated,reduced_conservation,reduced_conservation,-85.882513,42.420178
s57,MI,irrigated,irrigated,irrigated,reduced_conservation,reduced_conservation,-85.129158,41.789396
s58,MI,irrigated,irrigated,irrigated,reduced_conservation,reduced_conservation,-85.407377,41.771142
s59,MI,irrigated,irrigated,irrigated,no_till,no_till,-85.382816,42.413299
s61,MI,irrigated,irrigated,irrigated,reduced_conservation,reduced_conservation,-84.931318,41.942661
s75,MI,irrigated,irrigated,irrigated,reduced_conservation,reduced_conservation,-86.158204,41.974044
s87,MI,NE_I ,irrigated,irrigated,,,-85.813244,42.13428
s13,IL,unknown,irrigated,non-irrigated,unknown,unknown,-88.890816,41.097313
s47,MI,unknown,irrigated,non-irrigated,yes,yes,-84.106499,43.840955
s69,MI,unknown,irrigated,non-irrigated,conventiounknownl,conventiounknownl,-84.064192,41.991896
s72,MI,non-irrigated,irrigated,non-irrigated,conventiounknownl,conventiounknownl,-82.772491,43.842689
s73,MI,non-irrigated,irrigated,non-irrigated,no_till,no_till,-83.832994,43.508232
s14,IL,non-irrigated,non-irrigated,irrigated,reduced_conservation,reduced_conservation,-89.384453,39.317678
s27,IL,non-irrigated,non-irrigated,irrigated,no_till,no_till,-89.8685,39.948855
s33,IN,non-irrigated,non-irrigated,irrigated,no_till,no_till,-86.621837,40.237108
s02,MI,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-85.382535,42.413036
s03,IN,non-irrigated,non-irrigated,non-irrigated,reduced_conservation,reduced_conservation,-85.573611,39.103889
s06,IL,non-irrigated,non-irrigated,non-irrigated,reduced_conservation,reduced_conservation,-89.769551,41.714921
s08,IL,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-89.80615,41.569612
s10,IL,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-87.565597,38.920417
s11,IL,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-90.004956,41.26378
s12,IL,non-irrigated,non-irrigated,non-irrigated,reduced_conservation,reduced_conservation,-88.557031,42.249621
s15,IL,non-irrigated,non-irrigated,non-irrigated,reduced_conservation,reduced_conservation,-89.428889,38.755278
s19,IL,non-irrigated,non-irrigated,non-irrigated,reduced_conservation,reduced_conservation,-89.050429,42.053565
s20,IL,non-irrigated,non-irrigated,non-irrigated,unknown,unknown,-89.799845,41.475722
s21,IL,non-irrigated,non-irrigated,non-irrigated,unknown,unknown,-90.439805,41.355477
s24,IL,non-irrigated,non-irrigated,non-irrigated,conventiounknownl,conventiounknownl,-88.046456,40.940462
s26,IL,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-89.318424,42.198664
s35,IN,non-irrigated,non-irrigated,non-irrigated,reduced_conservation,reduced_conservation,-86.963656,39.89051
s36,IN,non-irrigated,non-irrigated,non-irrigated,unknown,unknown,-86.215721,39.522663
s37,IN,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-85.196166,40.312649
s38,IN,non-irrigated,non-irrigated,non-irrigated,reduced_conservation,reduced_conservation,-87.127786,38.433673
s39,IN,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-87.209817,37.94535
