,observed,mean.simulated,lowCI,uppCI,sign
K00001,26.6521413,25.2795641,22.8126874,26.00008763,GENERALIST
K00003,26.2396204,24.91801758,22.27663027,26.02955643,GENERALIST
K00010,26.31741523,24.08496466,20.52752646,25.94886849,GENERALIST
K00015,26.81010688,24.40655992,20.92330566,25.98957768,GENERALIST
K00018,26.33920001,23.77498719,19.9532203,25.96021762,GENERALIST
K00024,26.15775706,24.68711691,21.72587725,25.96324552,GENERALIST
K00031,26.39512692,25.13742103,22.64229085,26.04861036,GENERALIST
K00052,26.31687206,24.93127096,22.25275283,26.00679305,GENERALIST
K00053,26.78073959,24.87967879,22.11226287,25.99682858,GENERALIST
K00055,26.08565912,23.15995145,19.17106133,25.90135686,GENERALIST
K00058,26.10435134,25.43554961,23.24582085,26.04576152,GENERALIST
K00065,26.23802382,23.572885,19.67079314,25.91577841,GENERALIST
K00073,26.46845061,23.14714209,19.06627697,25.90294604,GENERALIST
K00087,26.88931879,23.78860599,19.93519561,25.94303662,GENERALIST
K00096,25.93150668,22.58928037,18.25769276,25.8591246,GENERALIST
K00097,26.34594454,24.08139841,20.7198961,25.96359476,GENERALIST
K00102,26.17783076,24.39829408,21.17173373,25.96800868,GENERALIST
K00104,26.40521815,25.01368268,22.41864267,26.02507096,GENERALIST
K00114,26.23578113,25.45145308,23.15059503,26.03618268,GENERALIST
K00122,26.33957433,24.67123163,21.53217783,26.02061357,GENERALIST
K00123,26.16761439,25.66342949,24.18696136,26.01614317,GENERALIST
K00132,26.0093168,22.83983148,18.58104998,25.80040826,GENERALIST
K00158,25.65849264,22.10537483,17.69293339,25.55680153,GENERALIST
K00174,26.26070137,25.24000796,22.88259512,26.0390644,GENERALIST
K00175,26.69198688,24.83886598,21.97757165,26.02401829,GENERALIST
K00185,26.16668937,24.52210247,21.25838205,25.98848363,GENERALIST
K00200,26.40931123,23.58565967,19.79420269,25.92958799,GENERALIST
K00201,25.9986502,22.91883047,18.51119447,25.83283281,GENERALIST
K00208,26.30849948,24.73693811,21.56210438,26.00140376,GENERALIST
K00235,23.47890411,18.85565259,14.10731307,23.2124387,GENERALIST
K00239,26.35613626,25.53935347,23.79745376,26.00352985,GENERALIST
K00244,26.09849856,23.33286074,19.11657218,25.90582157,GENERALIST
K00245,26.65160979,21.98768131,17.75970635,25.80695236,GENERALIST
K00264,25.3362106,20.91372782,16.29443008,24.77771152,GENERALIST
K00265,26.49037198,25.58731115,24.08005695,26.01940049,GENERALIST
K00302,26.09424929,24.54661055,21.45113564,26.02865965,GENERALIST
K00303,26.2510965,24.81775107,21.72303106,26.07104763,GENERALIST
K00315,26.45183238,23.04310998,18.68620042,25.88416664,GENERALIST
K00330,26.26918333,24.30251778,21.08890194,25.95467381,GENERALIST
K00331,26.63952096,24.87281306,21.90380802,26.03031109,GENERALIST
K00333,26.5692196,25.34274602,23.09727182,26.04918172,GENERALIST
K00334,25.99685448,24.4103182,21.1249968,25.98053102,GENERALIST
K00337,26.51533804,25.24533666,23.04058946,26.02645174,GENERALIST
K00338,26.58145175,24.79580548,21.94689936,25.96293494,GENERALIST
K00340,26.23858574,23.89782815,20.09987724,25.96703638,GENERALIST
K00341,26.20627349,25.49570846,23.40260773,26.04559139,GENERALIST
K00342,26.26972062,25.45748122,23.49922744,26.01904721,GENERALIST
K00356,26.47167025,22.02462991,17.58430594,25.65843562,GENERALIST
K00384,26.09626917,25.62244781,24.24036482,26.02246719,GENERALIST
K00387,26.71421774,23.4225902,19.27057939,25.90755237,GENERALIST
K00390,26.23589042,24.45040365,21.21248277,25.96248225,GENERALIST
K00394,26.11419504,23.03625397,18.98695745,25.87330373,GENERALIST
K00395,26.61997852,21.88128598,17.37899373,25.53575744,GENERALIST
K00404,25.97316834,24.16370263,20.66272866,25.96057759,GENERALIST
K00407,25.34796972,20.86771979,15.788269,24.72713677,GENERALIST
K00410,26.81908783,23.97355971,20.35456216,25.99631171,GENERALIST
K00425,26.428939,25.24252125,22.70943089,26.05710423,GENERALIST
K00428,26.18516406,24.4882238,21.5488198,25.96793027,GENERALIST
K00433,26.14301899,24.48303599,21.14305153,26.01444131,GENERALIST
K00450,26.56496471,24.07291791,20.49674052,25.94167134,GENERALIST
K00457,26.15226991,24.79012363,21.86740009,26.0070917,GENERALIST
K00483,26.00268543,24.53714175,21.52209489,25.9572846,GENERALIST
K00494,25.95533241,21.83957991,17.23812059,25.6357731,GENERALIST
K00518,26.3230334,22.51834791,18.07656803,25.82715681,GENERALIST
K00525,26.75880008,25.65037356,24.20100836,26.01958508,GENERALIST
K00544,26.45037931,23.27459006,19.43979448,25.90613383,GENERALIST
K00549,26.36962537,25.56140743,23.56599219,26.00213172,GENERALIST
K00557,26.25055706,22.88855515,18.73462117,25.86783159,GENERALIST
K00570,26.96063725,23.44360141,19.54730208,25.9096468,GENERALIST
K00596,26.04622966,23.04511787,18.66525984,25.90960009,GENERALIST
K00600,26.11019444,25.08085306,22.53582333,25.99550048,GENERALIST
K00605,26.15575577,25.20864847,22.71910548,26.0445413,GENERALIST
K00611,26.04513333,24.72420962,21.74486935,26.01066967,GENERALIST
K00612,26.10421912,24.77306764,22.0006941,26.04227864,GENERALIST
K00625,26.30610499,23.57431436,19.61429543,25.91496308,GENERALIST
K00635,25.98504557,24.04951045,20.45687132,25.93556917,GENERALIST
K00640,26.46071935,23.9348722,20.44775565,25.94686086,GENERALIST
K00643,25.9441993,23.65681968,19.77012129,25.92359652,GENERALIST
K00647,26.07335717,23.90440372,20.14891646,25.93113976,GENERALIST
K00672,25.93393566,22.84254808,18.23289924,25.89126314,GENERALIST
K00684,26.06089112,23.67587487,19.88457464,25.97151779,GENERALIST
K00688,26.10132425,25.33710198,23.05367531,26.02795585,GENERALIST
K00690,25.85457125,22.33212721,17.99088236,25.81969108,GENERALIST
K00769,26.42864976,22.01258642,17.40628111,25.70381828,GENERALIST
K00772,26.40358858,24.4433381,21.1964112,25.98558241,GENERALIST
K00795,26.5035108,23.64514677,20.02365677,25.92315554,GENERALIST
K00797,26.32918023,24.6912323,21.68138547,26.05796141,GENERALIST
K00809,26.08357855,23.64985509,19.77759753,25.94655493,GENERALIST
K00822,26.43229431,23.66693766,19.76369849,25.92890449,GENERALIST
K00823,26.42226037,24.60151347,21.58368727,26.00441433,GENERALIST
K00824,26.43092272,23.2321626,19.35776621,25.93646341,GENERALIST
K00830,26.24104491,24.51614869,21.28927667,25.95684863,GENERALIST
K00831,26.25507018,24.32539827,20.94129449,25.97938116,GENERALIST
K00867,26.19939119,23.46565067,19.65496185,25.9108083,GENERALIST
K00868,26.24278034,23.01145447,18.90267625,25.9146027,GENERALIST
K00901,26.34637808,22.46895067,18.08521096,25.77557855,GENERALIST
K00903,26.0835336,21.21206872,16.50608894,25.06844693,GENERALIST
K00930,26.17138452,24.46412052,20.94930495,25.95984839,GENERALIST
K00937,26.37562911,25.28851607,22.85624885,26.01624587,GENERALIST
K00948,26.12780078,25.07993846,22.48656323,26.00432764,GENERALIST
K00951,26.16453912,25.50336551,23.57123634,26.03816377,GENERALIST
K00962,26.54257719,25.53504639,23.6554699,26.03640397,GENERALIST
K00971,26.05949396,24.23005578,20.55485577,25.9686616,GENERALIST
K00975,26.61793697,24.69546753,21.73099824,25.9879832,GENERALIST
K01004,26.52271563,22.86140808,18.50552726,25.88747401,GENERALIST
K01006,26.45974884,25.45848074,23.55687495,26.02594679,GENERALIST
K01029,25.98447005,23.72627528,20.01050612,25.94115035,GENERALIST
K01039,26.34355638,24.21836575,20.77325409,25.97618314,GENERALIST
K01040,26.50256181,23.93805225,20.15493657,25.95278241,GENERALIST
K01046,26.29262009,23.28300119,19.36720426,25.93985878,GENERALIST
K01048,26.39234364,23.08218571,19.15083021,25.86704517,GENERALIST
K01053,26.46125367,24.87392027,22.08934414,26.02772645,GENERALIST
K01069,26.2273887,24.7721485,21.78395379,25.97543443,GENERALIST
K01075,26.36453826,22.91804488,18.88018193,25.87667284,GENERALIST
K01091,26.00265882,24.35560176,21.02011576,25.95146321,GENERALIST
K01113,27.15888614,24.97240681,22.30721667,26.02801573,GENERALIST
K01142,26.14393416,24.68568776,21.63059389,26.00459252,GENERALIST
K01173,26.14956784,23.36307336,19.28060142,25.94405558,GENERALIST
K01210,26.20118206,23.13153927,18.91123089,25.89509875,GENERALIST
K01251,26.33704136,25.32661941,22.86714745,26.04779997,GENERALIST
K01253,26.65403443,24.05664194,20.45826526,25.94236777,GENERALIST
K01266,26.76064994,24.25604615,20.96242417,25.98756975,GENERALIST
K01286,26.0595247,25.0466094,22.34514781,26.05506498,GENERALIST
K01338,26.58964148,25.69905003,24.43452457,26.00702129,GENERALIST
K01354,26.21409904,24.4798881,21.34104147,25.97605328,GENERALIST
K01358,26.16966183,25.24745076,23.04487736,26.03324234,GENERALIST
K01406,26.04467398,24.10148765,20.45457324,25.96531821,GENERALIST
K01428,27.09081708,24.14166593,20.80382807,25.94880739,GENERALIST
K01429,27.01906841,21.75893431,17.14992778,25.57929516,GENERALIST
K01430,26.58994592,22.04587825,17.88297842,25.69555899,GENERALIST
K01431,26.34605008,23.34840011,19.30160902,25.96738071,GENERALIST
K01432,26.54950216,23.18858901,19.24067322,25.91045855,GENERALIST
K01436,26.77516939,24.36439334,20.95784853,26.02061212,GENERALIST
K01450,26.52848295,22.69212323,18.45388491,25.86192239,GENERALIST
K01455,26.00419561,23.60404572,19.66950803,25.94954603,GENERALIST
K01458,26.00018096,23.19645465,19.16243855,25.89171437,GENERALIST
K01461,26.25840667,22.26126099,18.13439436,25.75250285,GENERALIST
K01464,26.19027976,24.92527158,22.37781621,26.01567354,GENERALIST
K01465,26.31167282,25.28393792,23.09700305,26.01141043,GENERALIST
K01466,26.16627812,23.60838194,19.70073886,25.96602137,GENERALIST
K01469,26.57263448,24.93088557,22.18162012,26.01627837,GENERALIST
K01470,26.41159163,24.25953697,20.88182144,25.95473541,GENERALIST
K01474,26.25159,25.40986941,23.2606868,26.02583058,GENERALIST
K01480,26.66011504,24.4666011,21.37485078,25.98820702,GENERALIST
K01485,26.44877956,24.08137011,20.50911422,26.01802882,GENERALIST
K01494,26.05501527,24.52864656,21.69090424,25.97560617,GENERALIST
K01502,25.83867957,22.26924854,17.71562535,25.74061487,GENERALIST
K01505,26.16903035,23.1945685,19.00045442,25.88638813,GENERALIST
K01523,26.48424084,22.70562663,18.24776688,25.85183232,GENERALIST
K01524,26.20850597,25.16009365,22.69894894,25.99861513,GENERALIST
K01561,26.07486369,23.87331633,20.22588145,25.93837226,GENERALIST
K01576,26.17639778,24.83012461,22.17991726,25.99042764,GENERALIST
K01577,26.73729289,23.90688813,20.35203953,25.94885695,GENERALIST
K01581,26.62968721,24.23536273,20.93643184,25.95328685,GENERALIST
K01585,26.11464363,24.34085505,20.90526645,25.94835978,GENERALIST
K01607,26.08282081,24.49337271,21.35278781,26.00084453,GENERALIST
K01610,26.05560684,24.8253339,21.68354587,26.05296697,GENERALIST
K01633,26.22955037,23.48725818,19.54465578,25.9176741,GENERALIST
K01647,26.23107201,25.45078921,23.15551399,26.00216013,GENERALIST
K01649,26.34124503,25.45379055,23.34719008,26.08162772,GENERALIST
K01652,26.67495273,25.69573312,24.51776514,26.00219804,GENERALIST
K01653,26.49273351,23.99247423,20.31325788,25.9640284,GENERALIST
K01662,26.00980722,25.09087364,22.56537858,26.00937013,GENERALIST
K01665,26.05916497,23.79374059,20.08264034,25.95141017,GENERALIST
K01674,25.78252227,21.7895408,17.13797014,25.59563962,GENERALIST
K01676,26.63607728,24.25395028,21.00174222,25.97843894,GENERALIST
K01679,26.2153184,24.88801634,21.9357487,25.99919999,GENERALIST
K01683,25.996813,21.08462925,16.37661503,25.23925065,GENERALIST
K01687,26.13497295,25.37234659,23.46443675,26.04170108,GENERALIST
K01703,26.39135671,25.11738533,22.5311887,25.99660992,GENERALIST
K01704,26.61186028,24.39246846,21.45611128,25.94099124,GENERALIST
K01724,25.94601342,23.84663344,19.84245492,25.94585139,GENERALIST
K01725,25.76028557,22.37551888,18.13041021,25.7476359,GENERALIST
K01768,26.27819544,25.71975818,24.44936591,25.98852762,GENERALIST
K01777,25.96636948,23.53984915,19.37700109,25.92427525,GENERALIST
K01781,26.73117021,23.40038086,19.52640788,25.91961695,GENERALIST
K01795,25.78235726,21.85196172,17.45006261,25.71057318,GENERALIST
K01799,26.04833892,23.6949864,19.96435227,25.91965931,GENERALIST
K01800,26.02339638,23.00297694,18.90924084,25.8624379,GENERALIST
K01816,26.18028054,23.59924941,19.93596786,25.9254498,GENERALIST
K01817,26.20996194,24.48373964,21.10445549,25.99638985,GENERALIST
K01821,26.10656035,22.74934175,18.23863806,25.88274127,GENERALIST
K01822,26.14356645,22.02391072,17.67015659,25.51393877,GENERALIST
K01829,26.66162381,21.88935558,17.29898077,25.55232527,GENERALIST
K01841,26.17099072,22.8722206,18.29963352,25.93288722,GENERALIST
K01843,26.85331886,24.24391261,21.00860891,25.9806616,GENERALIST
K01847,26.82480693,24.90061254,22.25124852,26.01225417,GENERALIST
K01854,26.10001372,23.84741017,20.09160926,25.95579268,GENERALIST
