"","observed","mean.simulated","lowCI","uppCI","sign"
"Actinomadura parvosata",7.15888286150195,17.090981404566,12.1078129928847,21.3020016787198,"SPECIALIST"
"Bacillus sp. KCTC 13219",3.45945945945946,8.62911823987552,5.22187755102041,11.906976744186,"SPECIALIST"
"Clostridium cellulosi",19.7882352941176,10.2658289595088,6.51937984496124,14.0166666666667,"GENERALIST"
"Clostridium innocuum",18.520859994881,15.8454076037316,11.3603903757151,20.2154638155377,"NON SIGNIFICANT"
"Flexibacter sp. ATCC 35208",1.47032175032175,12.7589698906923,8.55337503374309,16.8307852135384,"SPECIALIST"
"Micrococcus luteus ATCC 49442",11.646998982706,11.7186699410707,7.7826130500409,15.791724137931,"NON SIGNIFICANT"
"Muricauda lutisoli",1,1,1,1,"NON SIGNIFICANT"
"Mycobacterium fortunisiensis",14.0292191435768,13.6145938707998,9.22409377045894,17.8407050383259,"NON SIGNIFICANT"
"Mycobacterium manitobense",16.9876110961487,15.3039646943737,10.6694596586501,19.5670395472463,"NON SIGNIFICANT"
"Mycobacterium nativiensis",3.60579473576821,13.0818364479954,8.81211249818086,16.9605082681234,"SPECIALIST"
"Mycobacterium stephanolepidis",4.17241379310345,7.59703677281064,4.56603773584906,11,"SPECIALIST"
"Mycobacterium vasticus",14.6850551654965,14.7343826080323,10.0971283681203,18.919962022992,"NON SIGNIFICANT"
"Mycobacterium zoologicum",9.02900695574959,13.6319002047266,9.53281251331884,17.8972394252582,"SPECIALIST"
"Ochrobactrum quorumnocens",18.1376011773363,12.4705749227626,8.60935027086271,16.5335276981756,"GENERALIST"
"Pseudomonas carboxydohydrogena",13.2173913043478,12.5528548426238,8.10609937018894,16.8402647315443,"NON SIGNIFICANT"
"Pseudopropionibacterium massiliense",5.07017543859649,7.11251779439928,4.18840579710145,9.96551724137931,"NON SIGNIFICANT"
"Abditibacteriaceae bacterium",16.9161017113237,20.3169127199581,16.038650759502,24.1718388102307,"NON SIGNIFICANT"
"Abditibacteriales bacterium",9.20444659255679,14.0686803550748,9.98028489137023,18.2704912363545,"SPECIALIST"
