"","observed","mean.simulated","lowCI","uppCI","sign"
"K00001",42.8322534382524,41.5119930407337,38.7958635529261,42.7219844775818,"GENERALIST"
"K00002",35.8704734158776,33.9957558935999,27.758960217092,39.4305876801055,"NON SIGNIFICANT"
"K00003",42.5826407803417,40.9011854615494,37.378847599216,42.7237928422668,"NON SIGNIFICANT"
"K00004",42.3145240793089,39.4748381257543,34.5920939982865,42.6275855814863,"NON SIGNIFICANT"
"K00005",28.736743420046,34.1774831741223,27.8166772572215,39.8864547763215,"NON SIGNIFICANT"
"K00006",13.9799196787149,26.1564500023158,20.1979273199948,31.6135216952573,"SPECIALIST"
"K00008",41.2707437085026,40.237946053915,36.0909776835306,42.6697621148585,"NON SIGNIFICANT"
"K00009",35.4606799139415,35.0414038314121,28.8727436381026,40.3474715092827,"NON SIGNIFICANT"
"K00010",42.023229416545,39.4830492579275,35.0761350654555,42.6083050954927,"NON SIGNIFICANT"
"K00011",40.4939887261776,33.5659286489682,27.2814824284916,38.828695019796,"GENERALIST"
"K00012",41.7174686926691,41.3084554327053,38.0490335858341,42.7618834770615,"NON SIGNIFICANT"
"K00013",42.3447849037959,40.3325243419488,36.6075248328661,42.6966385287201,"NON SIGNIFICANT"
"K00014",42.3779705378518,40.1861374510199,36.3864727626259,42.6497433900715,"NON SIGNIFICANT"
"K00015",42.7186041759769,40.0665901931742,35.77690449698,42.652440667461,"GENERALIST"
"K00016",37.7783422953404,38.1917536658672,33.027430688525,42.40918140433,"NON SIGNIFICANT"
"K00018",42.0944432410666,38.7188809394021,33.9797805616021,42.4845424961963,"NON SIGNIFICANT"
"K00019",41.8793356612955,39.4868874097696,34.8192546199823,42.5809583702955,"NON SIGNIFICANT"
"K00020",42.3185613129256,41.3790834026982,38.3882617143333,42.760853030443,"NON SIGNIFICANT"
"K00021",37.3267236078181,37.9942293962682,32.3768793708206,42.1253850455379,"NON SIGNIFICANT"
"K00022",40.0571497136369,35.1294752160563,29.1523277170683,40.6335116755525,"NON SIGNIFICANT"
"K00023",42.1760290201973,39.3082446683184,34.535935613774,42.5905972371957,"NON SIGNIFICANT"
"K00024",43.19779825944,40.6563979737255,36.7417660833496,42.7103702946798,"GENERALIST"
"K00025",10.7756097560976,18.5070625107778,12.9181286549708,23.752688172043,"SPECIALIST"
"K00027",41.8097741075133,40.8860676429186,37.3684307403061,42.7059076219934,"NON SIGNIFICANT"
"K00028",22.9576821351286,28.2425707795359,22.0653096553947,33.7281446369763,"NON SIGNIFICANT"
"K00029",42.375947870692,39.5530384068594,35.0440664818536,42.6263420036978,"NON SIGNIFICANT"
"K00030",41.8783739349533,40.3127772740062,36.3711765502272,42.671019074973,"NON SIGNIFICANT"
"K00031",43.6630935607396,41.0373656278352,37.5430322116578,42.7248413758522,"GENERALIST"
"K00032",35.5831599863392,33.0344494808263,26.8820687450007,38.5991736376801,"NON SIGNIFICANT"
"K00033",41.815695228405,41.0146399886759,37.5268568163504,42.7059748603307,"NON SIGNIFICANT"
"K00034",39.4449098542904,38.5816474235328,33.6044930155869,42.231272770717,"NON SIGNIFICANT"
"K00035",35.8987515933877,32.8284799125405,26.019263938669,38.6573707715131,"NON SIGNIFICANT"
"K00036",42.0388618377742,41.9479348668734,39.6175271583831,42.7876228729286,"NON SIGNIFICANT"
"K00037",9.30079597821533,25.4225103891006,19.0223685510374,30.8841037790136,"SPECIALIST"
"K00038",41.7799445263979,37.5477529514624,32.0306024060555,41.9089020644156,"NON SIGNIFICANT"
"K00039",31.9944789737077,33.6683021830405,27.6161158217233,38.8953094230707,"NON SIGNIFICANT"
"K00040",37.0195114542708,37.1933531599366,31.3616952749216,41.6660961411668,"NON SIGNIFICANT"
"K00041",26.010555803904,32.2098181552906,25.9783572917334,38.0352881160322,"NON SIGNIFICANT"
"K00042",40.5530154689515,37.7654598649122,32.6075080045631,42.1664801206563,"NON SIGNIFICANT"
"K00043",35.0238054988208,33.0097588315256,26.7289747079384,38.7599924588965,"NON SIGNIFICANT"
"K00045",34.6239034188066,35.0578151814327,28.9087154930074,40.2440000890553,"NON SIGNIFICANT"
"K00046",42.1398729920098,39.2651991787086,35.044129043734,42.5857842636892,"NON SIGNIFICANT"
"K00048",34.2890311686484,32.0187495576336,25.5955007842674,37.9732075191799,"NON SIGNIFICANT"
"K00049",30.2846445789312,31.3762369628136,24.9825716166398,37.4829573749679,"NON SIGNIFICANT"
"K00050",23.845749486653,30.3404247532329,24.0229374026922,36.1008334531547,"SPECIALIST"
"K00052",42.7911446063286,40.8504714758721,37.2980173470873,42.7336427288253,"GENERALIST"
"K00053",43.6142625098475,40.8845770147291,37.4532519759423,42.7104451322887,"GENERALIST"
"K00054",37.1391844902898,35.3438491060242,29.5837922725634,40.4099613037206,"NON SIGNIFICANT"
"K00055",41.0941108481494,37.6924099014968,32.3385367515579,42.1250637763362,"NON SIGNIFICANT"
"K00057",42.0126093800418,39.975780294143,35.5874446749759,42.6544415123291,"NON SIGNIFICANT"
"K00058",42.5119412025913,41.8686375196806,39.3073697457799,42.7700156002009,"NON SIGNIFICANT"
"K00059",42.1652244201037,42.2355558132487,40.3270761728226,42.7502356839702,"NON SIGNIFICANT"
"K00060",42.1708503293979,39.1896784583679,34.4262278492038,42.5602779402936,"NON SIGNIFICANT"
"K00061",11.4201063192844,31.2714635756414,24.8887712052406,36.8140486061825,"SPECIALIST"
"K00064",40.896234773683,37.211210407821,31.53607621032,41.4570110201449,"NON SIGNIFICANT"
"K00065",42.5521721060049,38.5977307122695,33.7992258335436,42.4842039321373,"GENERALIST"
"K00066",38.8573848894958,37.1203573273395,31.6960535807851,41.6341298513853,"NON SIGNIFICANT"
"K00067",41.4984066401564,39.91425593965,35.9314241826349,42.6006602089973,"NON SIGNIFICANT"
"K00068",31.9539637865524,36.8176789502987,31.457954546999,41.2906406954445,"NON SIGNIFICANT"
"K00069",14.7330950679056,29.4200958781444,23.331729970179,35.4882920110193,"SPECIALIST"
"K00070",33.790035637015,34.6106608381629,28.3210961345121,39.9668314000107,"NON SIGNIFICANT"
"K00073",42.0706925527671,37.4273567894209,32.3049305614882,41.8734338019412,"GENERALIST"
"K00074",42.2898232173883,41.2694470970135,38.0030255397025,42.7516167001008,"NON SIGNIFICANT"
"K00075",42.4672602770714,40.3325545467898,36.4457519900307,42.657743767743,"NON SIGNIFICANT"
"K00076",40.7545282801858,36.1824878388646,30.7409743993244,40.8761450527213,"NON SIGNIFICANT"
"K00077",41.878631267703,40.6573814252593,36.8581842920878,42.7129012553193,"NON SIGNIFICANT"
"K00078",7.78052223006352,29.0551278305636,22.6003384499452,34.8066298342541,"SPECIALIST"
"K00079",22.7348026652998,31.6452007164913,25.6642053585886,37.0008881977205,"SPECIALIST"
"K00081",17.4193932183224,29.4276336967912,23.5225186544247,35.0900641291098,"SPECIALIST"
"K00082",40.2571188159189,38.6435917801529,33.6781621062487,42.5201456843185,"NON SIGNIFICANT"
"K00083",30.1727994979605,33.1467878323387,26.648587085904,38.7034733247748,"NON SIGNIFICANT"
"K00086",38.0668701649051,35.5385653073194,29.8411994741379,40.8308299250337,"NON SIGNIFICANT"
"K00087",42.8283527920101,39.0913745545212,34.2243874553061,42.5704257922521,"GENERALIST"
"K00088",42.185013119249,41.4703583137174,38.5799309161151,42.7300854821403,"NON SIGNIFICANT"
"K00090",38.1020816474253,34.0414918001762,28.0394304838613,39.2782327812729,"NON SIGNIFICANT"
"K00091",42.2854355710162,39.6982687597842,34.7413190245605,42.6200424623121,"NON SIGNIFICANT"
"K00094",8.3778364116095,27.5396352361331,21.6863114754098,32.8704167605317,"SPECIALIST"
"K00096",40.9857114913231,36.836338432108,31.5734879737469,41.4476280183348,"NON SIGNIFICANT"
"K00097",42.9356534152818,39.1821227001327,34.3937558514103,42.5619089894892,"GENERALIST"
"K00098",33.5530753564155,34.7901690365826,28.2773217551373,40.0834315733095,"NON SIGNIFICANT"
"K00099",42.1860327121814,40.7409689806424,36.691913112207,42.6839833251702,"NON SIGNIFICANT"
"K00100",6.20606060606061,20.6795256979189,15.3956233868253,26.2564102564103,"SPECIALIST"
"K00101",41.2655755463022,40.4797778555738,36.7682027218785,42.6881199949316,"NON SIGNIFICANT"
"K00102",42.106182540385,40.0371460032846,35.8681008427167,42.6622511074664,"NON SIGNIFICANT"
"K00103",36.2130838282746,37.7222734088796,32.3000592949065,42.0906994922592,"NON SIGNIFICANT"
"K00104",42.3311725547661,41.1057049166341,37.886960161655,42.7311455160071,"NON SIGNIFICANT"
"K00105",17.5494610163273,34.3197612877211,28.3929790564168,39.7640200181966,"SPECIALIST"
"K00106",31.5638015763995,34.1089557037971,28.1100304147206,39.5026019839621,"NON SIGNIFICANT"
