"","observed","mean.simulated","lowCI","uppCI","sign"
"Actinomadura parvosata",10.7794465533366,23.2962299926121,17.7395005463497,28.6460111480082,"SPECIALIST"
"Bacillus sp. KCTC 13219",8.1,9.0037230929673,5.58620689655172,12.4615384615385,"NON SIGNIFICANT"
"Clostridium cellulosi",30.9422750424448,16.87272589968,11.7202572347267,22.0922511874517,"GENERALIST"
"Clostridium innocuum",35.1120654396728,26.1239666885286,20.1455243141535,31.5957498497648,"GENERALIST"
"Flexibacter sp. ATCC 35208",3.75177304964539,10.0355669929369,6.21995267072346,13.5641025641026,"SPECIALIST"
"Micrococcus luteus ATCC 49442",20.4507042253521,16.9684176982592,12.0161379310345,22.1116751269036,"NON SIGNIFICANT"
"Muricauda lutisoli",1.4578313253012,9.86877686227731,6.20512820512821,13.4444444444444,"SPECIALIST"
"Mycobacterium fortunisiensis",26.7209469153515,21.0847531957778,15.8107121880692,26.3525500675796,"GENERALIST"
"Mycobacterium manitobense",25.9501246882793,25.3037829186905,19.1281863268454,31.3097108503858,"NON SIGNIFICANT"
"Mycobacterium nativiensis",4.49158179172729,17.1695619829465,11.8900850036976,21.9403073627346,"SPECIALIST"
"Mycobacterium stephanolepidis",1.85038503850385,13.5638853514792,9.24175824175824,17.8936170212766,"SPECIALIST"
"Mycobacterium vasticus",10.6701432345988,19.582430372836,14.5002942807291,24.5851425907239,"SPECIALIST"
"Mycobacterium zoologicum",9.62710785873369,19.3445811390018,14.0276539022249,24.3633011921459,"SPECIALIST"
"Ochrobactrum quorumnocens",29.1067761806982,20.1825842408118,14.7015903349288,25.5145992208668,"GENERALIST"
"Pseudomonas carboxydohydrogena",4.31416819812724,20.1638603181931,14.8932061728418,25.322263474338,"SPECIALIST"
"Pseudopropionibacterium massiliense",5.45283018867925,8.73486615085284,5.45283018867925,12.5652173913043,"NON SIGNIFICANT"
"Abditibacteriaceae bacterium",38.4879097163788,32.3807724112828,26.7720784407849,37.5227234166635,"GENERALIST"
"Abditibacteriales bacterium",22.3484929259791,25.54614217652,19.5691590649149,31.0848987584481,"NON SIGNIFICANT"
"Abditibacteriota bacterium",6.69484936831876,15.0331370348496,10.1757754800591,19.8559031867352,"SPECIALIST"
"Abditibacterium utsteinense",17.3717978306024,21.250831052847,15.8895561141991,26.8170138790883,"NON SIGNIFICANT"
"Abyssisolibacter fermentans",1,2.7812,1.8,3,"SPECIALIST"
"Acaryochloridaceae cyanobacterium CSU_3_4",12.5,13.8597896117881,9.23076923076923,18.5567010309278,"NON SIGNIFICANT"
"Acaryochloridaceae cyanobacterium RU_4_10",9.30769230769231,14.2223117039502,9.59366160445166,18.9391304347826,"SPECIALIST"
"Acaryochloris marina",8.03343782654127,16.6167138740316,11.5236678837401,21.2978778085565,"SPECIALIST"
"Acaryochloris sp. RU_4_1",5.4453781512605,11.8576449326778,7.71428571428571,16.6153846153846,"SPECIALIST"
"Acaryochloris thomasi",11.7142857142857,15.0352686944005,10.4735202492212,19.8934911242604,"NON SIGNIFICANT"
"Accumulibacter sp.",38.8384876605612,33.9671579504601,28.4554107127657,38.955939077644,"NON SIGNIFICANT"
"Acetatifactor sp.",1,6.58655693571135,3.84615384615385,10,"SPECIALIST"
"Acetivibrio cellulolyticus",11.633118782914,17.0967858766467,11.9939069805347,22.5191397498163,"SPECIALIST"
"Acetivibrio thermocellus",31.171323934436,27.1723477236478,21.097662203093,32.6142837458779,"NON SIGNIFICANT"
"Acetobacter fabarum",5.65272591486184,15.3059455196299,10.6142277019137,20.184,"SPECIALIST"
"Acetobacter malorum",18.3592953175707,18.3235726669839,13.0215068600559,23.4471129133979,"NON SIGNIFICANT"
"Acetobacter oeni",1.41925402816673,18.2664762969343,12.8395128390885,23.4533869885983,"SPECIALIST"
"Acetobacter orientalis",1,1.932,1,2,"NON SIGNIFICANT"
"Acetobacter pasteurianus",1,1,1,1,"NON SIGNIFICANT"
"Acetobacter peroxydans",24.7352941176471,13.7279651734334,9.08946090475502,18.2826086956522,"GENERALIST"
"Acetobacter senegalensis",16.1082251082251,14.043488913513,9.46463391302684,18.6984924623116,"NON SIGNIFICANT"
"Acetobacter sp.",15.9517077163479,26.4028253281047,20.4318054776462,31.6778703363233,"SPECIALIST"
"Acetobacteraceae bacterium",11.0561972507228,41.5953673316859,38.5035340366941,42.7318685579651,"SPECIALIST"
"Acetobacteraceae bacterium AT-5844",1.4024864024864,15.500165824224,10.5064027939464,20.5604387441814,"SPECIALIST"
"Acetobacteraceae bacterium H6797",14.2857142857143,9.36679768479511,5.55555555555556,13.3333333333333,"GENERALIST"
"Acetobacteraceae bacterium KSS12",11.7555555555556,9.96568504917873,6.36974486180014,13.5641025641026,"NON SIGNIFICANT"
"Acetobacteraceae bacterium KSS8",20.8133727040689,24.9192176620619,19.2273209934047,30.3573971789827,"NON SIGNIFICANT"
"Acetobacteraceae bacterium SCN 69-10",20.3036509349955,17.3055223097155,12.1573247493404,22.4243063168943,"NON SIGNIFICANT"
"Acetomicrobium sp. UBA5826",4.82469447956174,16.0685637651227,10.850090907875,21.3202979515829,"SPECIALIST"
"Acholeplasma sp.",1.03374991174186,20.9073261652762,15.6916440373438,26.5294252118384,"SPECIALIST"
"Acholeplasmataceae bacterium",5.58454106280193,14.2637261815095,9.71326957561267,18.9547351307411,"SPECIALIST"
"Achromobacter aegrifaciens",5.71712158808933,18.1852062882014,13.2024952926729,23.1863675081491,"SPECIALIST"
"Achromobacter aestuarii",4.10278250993754,15.1079851733792,10.1861689120854,19.7945205479452,"SPECIALIST"
"Achromobacter aloeverae",1,3.5194,2,4,"SPECIALIST"
"Achromobacter animicus",1.15008849557522,13.6069529822395,9,18.1508379888268,"SPECIALIST"
"Achromobacter anxifer",9.8,9.71192450857028,5.88,13.3636363636364,"NON SIGNIFICANT"
"Achromobacter arsenitoxydans",1,5.70086032330243,3.2,8,"SPECIALIST"
"Achromobacter denitrificans",3.43359818388195,13.4124294898054,8.92330383480826,17.8994082840237,"SPECIALIST"
