,State,Latitude,Longitude
s03,IN,39.103889,-85.573611
s04,IL,42.249635,-88.575709
s05,IL,41.715098,-89.768109
s06,IL,41.714921,-89.769551
s07,IL,41.560933,-90.0783
s08,IL,41.569612,-89.80615
s09,IL,40.659722,-89.413333
s10,IL,38.920417,-87.565597
s11,IL,41.26378,-90.004956
s12,IL,42.249621,-88.557031
s13,IL,41.097313,-88.890816
s14,IL,39.317678,-89.384453
s15,IL,38.755278,-89.428889
s16,IL,39.686888,-90.305563
s17,IL,39.856514,-89.574325
s18,IL,40.438339,-88.213811
s19,IL,42.053565,-89.050429
s20,IL,41.475722,-89.799845
s21,IL,41.355477,-90.439805
s22,IL,40.895581,-88.667992
s23,IL,40.231388,-88.154722
s24,IL,40.940462,-88.046456
s25,IL,41.584156,-88.6125485
s26,IL,42.198664,-89.318424
s27,IL,39.948855,-89.8685
s28,IN,41.288611,-86.938056
s29,IN,41.3975,-86.858333
s30,IN,41.19228,-85.804244
s31,IN,41.56495,-85.29401
s32,IN,41.625304,-85.643342
s33,IN,40.237108,-86.621837
s34,IN,40.418346,-87.229819
s35,IN,39.89051,-86.963656
s36,IN,39.522663,-86.215721
s37,IN,40.312649,-85.196166
s38,IN,38.433673,-87.127786
s39,IN,37.94535,-87.209817
s40,IN,40.917033,-86.406058
s41,IN,38.553889,-87.080278
s42,IN,40.304487,-85.765962
s43,IN,39.564686,-86.523813
s44,IN,40.132424,-85.397709
s45,MI,42.40757,-85.37359
s46,MI,42.407599,-85.374316
s47,MI,43.840955,-84.106499
s48,MI,43.771329,-83.342256
s49,MI,43.080996,-84.836747
s50,MI,,
s51,MI,43.114853,-84.407097
s52,MI,43.118707,-84.41387
s53,MI,43.11819,-84.420248
s54,MI,42.52951,-84.531822
s55,MI,42.525584,-84.534562
s56,MI,42.420178,-85.882513
s57,MI,41.789396,-85.129158
s58,MI,41.771142,-85.407377
s59,MI,42.413299,-85.382816
s60,MI,41.869428,-84.895719
s61,MI,41.942661,-84.931318
s62,MI,43.113903,-82.873455
s63,MI,43.07449,-84.464319
s64,MI,43.756214,-84.521478
s65,MI,43.509751,-84.635836
s66,MI,41.74168,-84.159119
s67,MI,42.051632,-83.869977
s68,MI,40.258416,-83.587415
s69,MI,41.991896,-84.064192
s70,MI,43.500614,-83.758073
s71,MI,43.201758,-84.50336
s72,MI,43.842689,-82.772491
s73,MI,43.508232,-83.832994
s74,MI,43.675314,-84.922073
s75,MI,41.974044,-86.158204
s76,MI,41.956264,-86.21301
s77,MI,42.465829,-84.258162
s78,MI,42.436333,-84.868481
