,r.value.fit.vectors.r,fit.vectors.pvals
Actinomadura parvosata,0.249335124,0.004
Bacillus sp. KCTC 13219,0.057229579,0.275
Clostridium cellulosi,0.069852792,0.219
Clostridium innocuum,0.278266277,0.002
Clostridium methylpentosum,0,1
Flexibacter sp. ATCC 35208,0.026898613,0.599
Micrococcus luteus ATCC 49442,0.02303153,0.594
Muricauda lutisoli,0.057659914,0.244
Mycobacterium fortunisiensis,0.097044912,0.113
Mycobacterium manitobense,0.153503913,0.022
Mycobacterium nativiensis,0.162409393,0.022
Mycobacterium stephanolepidis,0.060569787,0.255
Mycobacterium vasticus,0.192643264,0.012
Mycobacterium zoologicum,0.090599778,0.125
Ochrobactrum quorumnocens,0.129309444,0.055
Pseudomonas carboxydohydrogena,0.119257557,0.071
Pseudopropionibacterium massiliense,0.140327272,0.048
Abditibacteriaceae bacterium,0.038229627,0.469
Abditibacteriales bacterium,0.539856136,0.001
Abditibacteriota bacterium,0.137439635,0.038
Abditibacterium utsteinense,0.108793838,0.067
Abyssisolibacter fermentans,0.023614377,0.652
Acaryochloridaceae cyanobacterium CSU_3_4,0.010005247,0.828
Acaryochloridaceae cyanobacterium RU_4_10,0.116116917,0.074
Acaryochloris marina,0.096693467,0.097
Acaryochloris sp. RU_4_1,0.027787771,0.573
Acaryochloris thomasi,0.147123905,0.038
Accumulibacter sp.,0.143129236,0.035
Acetatifactor sp.,0.180757478,0.044
Acetivibrio cellulolyticus,0.391373299,0.001
Acetivibrio thermocellus,0.095191114,0.124
Acetobacter fabarum,0.125561741,0.053
Acetobacter malorum,0.255528951,0.002
Acetobacter oeni,0.070184456,0.182
Acetobacter orientalis,0.037971491,0.369
Acetobacter pasteurianus,0.022201504,0.673
Acetobacter peroxydans,0.058284994,0.304
Acetobacter senegalensis,0.398138277,0.001
Acetobacter sp.,0.17515314,0.014
Acetobacteraceae bacterium,0.475015125,0.001
Acetobacteraceae bacterium AT-5844,0.21412182,0.002
Acetobacteraceae bacterium H6797,0.020968774,0.649
Acetobacteraceae bacterium KSS12,0.300982407,0.002
Acetobacteraceae bacterium KSS8,0.096928726,0.121
Acetobacteraceae bacterium SCN 69-10,0.093209738,0.141
Acetomicrobium sp. UBA5826,0.007434442,0.857
Acholeplasma sp.,0.118748482,0.087
Acholeplasmataceae bacterium,0.101778539,0.092
Achromobacter aegrifaciens,0.041328016,0.425
Achromobacter aestuarii,0.245808444,0.006
Achromobacter aloeverae,0.180757478,0.044
Achromobacter animicus,0.208274514,0.005
Achromobacter anxifer,0.213204508,0.012
Achromobacter arsenitoxydans,0.19890722,0.023
Achromobacter denitrificans,0.138786638,0.046
Achromobacter insolitus,0.183640115,0.028
Achromobacter insuavis,0.306459844,0.002
Achromobacter kerstersii,0.08419901,0.127
Achromobacter mucicolens,0.045405372,0.374
Achromobacter pulmonis,0.214989672,0.001
Achromobacter sp.,0.126334363,0.068
Achromobacter sp. 2789STDY5608621,0.040938423,0.404
Achromobacter sp. BP3,0.09033138,0.132
Achromobacter sp. DMS1,0.347627476,0.001
Achromobacter sp. GbtcB20,0.184437017,0.013
Achromobacter sp. GD03932,0.224212857,0.002
Achromobacter sp. LC458,0.19890722,0.023
Achromobacter sp. Marseille-Q0513,0.137278611,0.048
Achromobacter sp. MFA1 R4,0.073877981,0.153
